ID;Data;Localizacao;Tipo de plantio;Preco por tonelada (Dolares/tonelada);Rendimento (kilogramas por hectare);Producao (toneladas);Area plantada (hectares);Valor total da safra (Dolares)
1;1908;AB;Cevada;15;1585;84000;53000;1296
2;1908;AB;Linhaca;29;950;1900;2000;56
3;1908;AB;Aveia;18;1675;352000;210000;6316
4;1908;AB;Centeiro, todos;23;1665;5000;3000;117
5;1908;AB;Beterraba Sacarina;0.55;18100;38100;2100;208
6;1908;AB;Feno domestico;0.84;5050;101000;20000;846
7;1908;AB;Trigo, tudo;25;1690;186000;110000;4617
8;1908;BC;Cevada;0;0;0;0;0
9;1908;BC;Aveia;0;0;0;0;0
10;1908;BC;Trigo, tudo;0;0;0;0;0
11;1908;CA;Cevada;21;1440;1016850;707100;21353
12;1908;CA;Feijao;59;1395;33800;24200;1988
13;1908;CA;Trigo sarraceno;27;1320;155700;117950;4269
14;1908;CA;Milho para grao;20;3935;580600;147600;11834
15;1908;CA;Milho para silagem;0.44;25360;2665000;105100;11812
16;1908;CA;Linhaca;38;680;38100;56000;1457
17;1908;CA;Graos mistos;26;1650;388750;235550;10140
18;1908;CA;Aveia;25;1205;3861650;3200550;96489
19;1908;CA;Ervilhas;31;1150;192100;167050;5970
20;1908;CA;Centeiro, todos;29;1065;43902;41281;1262
21;1908;CA;Beterraba Sacarina;0.58;22500;98900;4400;578
22;1908;CA;Feno domestico;1.17;3120;10388000;3326000;121884
23;1908;CA;Trigo, tudo;30;1145;3060250;2676250;91228
24;1908;MA;Cevada;18;1390;372000;268000;6705
25;1908;MA;Linhaca;38;790;7100;9000;273
26;1908;MA;Aveia;21;1290;690000;535000;14263
27;1908;MA;Ervilhas;15;1415;850;600;13
28;1908;MA;Centeiro, todos;20;1000;3000;3000;61
29;1908;MA;Feno domestico;0.82;3900;195000;50000;1592
30;1908;MA;Trigo, tudo;31;1145;1368000;1197000;41924
31;1908;MP;Cevada;31;1525;11750;7700;369
32;1908;MP;Graos mistos;27;1855;20850;11250;556
33;1908;MP;Aveia;31;1120;221450;197450;6786
34;1908;MP;Feno domestico;1.08;3470;2211000;637000;23955
35;1908;MP;Trigo, tudo;38;1085;29950;27650;1150
36;1908;NB;Cevada;32;1215;1700;1400;55
37;1908;NB;Feijao;77;1125;900;800;69
38;1908;NB;Trigo sarraceno;27;1375;34250;24950;909
39;1908;NB;Milho para silagem;0.39;22860;8000;350;31
40;1908;NB;Graos mistos;27;1440;3100;2150;85
41;1908;NB;Aveia;33;945;78000;82500;2539
42;1908;NB;Ervilhas;43;590;650;1100;28
43;1908;NB;Centeiro, todos;29;1260;102;81;3
44;1908;NB;Feno domestico;1.03;3010;845000;281000;8664
45;1908;NB;Trigo, tudo;42;1165;9500;8150;402
46;1908;NS;Cevada;33;1550;6050;3900;202
47;1908;NS;Feijao;81;1200;1500;1250;121
48;1908;NS;Trigo sarraceno;30;1340;9800;7300;295
49;1908;NS;Milho para silagem;0.33;16920;11000;650;36
50;1908;NS;Graos mistos;30;1785;5350;3000;161
51;1908;NS;Aveia;34;1210;65450;54200;2224
52;1908;NS;Ervilhas;45;915;550;600;25
53;1908;NS;Centeiro, todos;27;1000;300;300;8
54;1908;NS;Feno domestico;1.14;3810;988000;259000;11242
55;1908;NS;Trigo, tudo;39;1170;9750;8350;378
56;1908;ON;Cevada;24;1530;459900;301000;11217
57;1908;ON;Feijao;56;1410;24400;17300;1355
